"Pos","Start Number","Competitor","Class","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","316","Levi Meador","LO206 325","0.000","6","29.765","5","48.379 mi/h","Reverse"
"2","18","Hunter McCown","LO206 325","0.276","6","30.041","4","47.934 mi/h","Reverse"
"3","46","Landen Duvall","LO206 325","0.309","6","30.074","5","47.882 mi/h","Reverse"
"4","40","Bennett Smith","LO206 325","0.347","6","30.112","6","47.821 mi/h","Reverse"
"5","90","Stephen Beasley","LO206 325","0.693","6","30.458","4","47.278 mi/h","Reverse"
"6","17","Chloe Jackson","LO206 325","0.708","6","30.473","6","47.255 mi/h","Reverse"
"7","4","Lexi Whitcraft","LO206 325","0.754","6","30.519","6","47.184 mi/h","Reverse"
"8","52","Clay Bernson","LO206 325","0.805","6","30.570","5","47.105 mi/h","Reverse"
"9","1","Hunter Cordell","LO206 325","0.816","6","30.581","2","47.088 mi/h","Reverse"
"10","5","Shyann Fisher","LO206 325","0.928","6","30.693","5","46.916 mi/h","Reverse"
