"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","211","Dean Gerrior","LO206 Green","7:40.711","0.000","15","30.253","6","47.599 miles/h","Reverse"
"2","222","Jenson Willander","LO206 Green","7:46.773","6.062","15","30.656","12","46.973 miles/h","Reverse"
"3","126","Carson Hill","LO206 Green","7:49.880","9.169","15","30.545","9","47.144 miles/h","Reverse"
"4","51","Carter Downum","LO206 Green","7:50.753","10.042","15","30.862","12","46.659 miles/h","Reverse"
"5","214","Salvador Ruiz","LO206 Green","7:51.991","11.280","15","30.946","12","46.533 miles/h","Reverse"
"6","13","Kaleb Roberts","LO206 Green","7:57.031","16.320","15","31.080","10","46.332 miles/h","Reverse"
"7","21","William Davis","LO206 Green","7:40.042","1 lap","14","32.098","4","44.863 miles/h","Reverse"
"8","32","Bella Brewer","LO206 Green","7:41.764","1 lap","14","32.149","10","44.791 miles/h","Reverse"
"9","19","Kynzlee Barrett","LO206 Green","8:07.484","1 lap","14","33.676","10","42.76 miles/h","Reverse"
"10","5","Veston Sharp","LO206 Green","7:46.101","5 laps","10","32.503","9","44.304 miles/h","Reverse"
