"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","211","Dean Gerrior","LO206 Green","5:08.150","0.000","10","30.254","4","47.597 miles/h","Reverse"
"2","51","Carter Downum","LO206 Green","5:14.522","6.372","10","30.915","8","46.579 miles/h","Reverse"
"3","214","Salvador Ruiz","LO206 Green","5:14.773","6.623","10","30.812","8","46.735 miles/h","Reverse"
"4","222","Jenson Willander","LO206 Green","5:14.848","6.698","10","30.403","9","47.364 miles/h","Reverse"
"5","13","Kaleb Roberts","LO206 Green","5:16.746","8.596","10","31.068","10","46.35 miles/h","Reverse"
"6","5","Veston Sharp","LO206 Green","5:26.114","17.964","10","31.379","8","45.891 miles/h","Reverse"
"7","32","Bella Brewer","LO206 Green","5:30.816","22.666","10","32.105","7","44.853 miles/h","Reverse"
"8","21","William Davis","LO206 Green","5:32.535","24.385","10","32.069","2","44.903 miles/h","Reverse"
"9","19","Kynzlee Barrett","LO206 Green","5:08.995","1 lap","9","33.476","2","43.016 miles/h","Reverse"
"10","126","Carson Hill","LO206 Green","3:09.407","4 laps","6","30.963","3","46.507 miles/h","Reverse"
